bills_M7_best
"1. Electric Infrastructure Protection
2. Cybersecurity Assessment
3. FERC Interim Measures"
"1. Public Lands
2. Hunting
3. Permits"
"1. Family Stability
2. Kinship Care
3. Foster Care"
"1. Microbicide Development
2. HIV Prevention
3. International Development"
"1. Veterans
2. Disabilities
3. Training"
"1. Fair Housing Act
2. Commemorative Work
3. Federal Land"
"1. Deaths Registry
2. Data Sharing
3. Improper Payments"
"1. Retirement
2. Inflation
3. Protection"
"1. Abraham Lincoln National Heritage Area
2. Management Plan
3. Conservation and Development"
"1. Vote Tabulation
2. Audit Act
3. Election Standards"
"1. Tariffs
2. 1-Propene
3. Suspension of duty"
"1. Anticompetitive practices
2. Pharmaceutical industry
3. Antitrust laws"
"1. SMA Treatment
2. Clinical Trials
3. Data Coordination"
"1. Healthy Food
2. Financing Initiative
3. Underserved Areas"
"1. Renewable Energy
2. Energy Efficiency
3. Biomass"
"1. Infrastructure Investments
2. Clean Water
3. Flood Control and Water Resources"
"1. Obstetric Fistula
2. International Women's Health
3. Empowerment"
"1. Campaign Finance
2. Political Advertisements
3. Transparency"
"1. Global Service Fellowship Program
2. International Volunteering
3. Cultural Exchange"
"1. Project Rebuild
2. Abandoned Properties
3. Land Banks"
"1. Tariff Schedule
2. Staple Fibers
3. Viscose Rayon"
"1. Home Modification
2. Senior Care
3. Independence"
"1. Textile Research
2. Innovation
3. Export Promotion"
"1. Methamphetamine
2. Substance Abuse
3. Child and Family Services"
"1. Federal Reserve
2. Sunshine Act
3. Comptroller General"
"1. Forest Ecosystem Recovery and Protection Act
2. Pine Beetle Prevention and Mitigation
3. Forest Products Industry Support"
"1. Housing Assistance
2. Self-Determination
3. Indian Housing"
"1. Foster Care
2. Tax Credit
3. HHS Outreach"
"1. Counterfeit Goods
2. Military Standards
3. National Security"
"1. Freedom Act
2. ATF
3. Hand Tools"
"1. Foreclosure
2. Mortgage Lending
3. Predatory Lending"
"1. Sage-Grouse Conservation
2. Private Conservation
3. Agricultural Land Easements"
"1. Skills Gap
2. Workforce Training
3. Tax Credit"
"1. Critical Infrastructure Protection
2. Geomagnetic Disturbance
3. Electromagnetic Pulse"
"1. Rental-Purchase Agreements
2. Consumer Protection
3. Federal Regulation"
"1. Judicial Realignment
2. Federal Code Amendment
3. Judicial Divisions"
"1. Menstrual Products
2. Tax Credit
3. Inflation Adjustment"
"1. Airport
2. Noise
3. School"
"1. Graduation Promise Act
2. School Improvement
3. High School Achievement"
"1. Tariff Schedule
2. Footwear
3. Leather"
"1. Homeowners' Relief
2. Neighborhood Stabilization
3. Emergency Mortgage Assistance"
"1. Student Credit
2. Credit Card Protection
3. College Student Accounts"
"1. Tax Deductions
2. Artistic Adjusted Gross Income
3. Donations to Tax-Exempt Organizations"
"1. Immigration
2. E-2 Visa
3. Employment"
"1. Veterans Home Loan Refinance
2. Tax-exempt Veterans' Mortgage Bonds
3. Interest on Veterans' Mortgages"
"1. Marriage Act
2. Amendment
3. Federal Law"
"1. Public Access
2. Rattlesnake Mountain
3. National Monument"
"1. Rangeland Management
2. Grazing Permits
3. Livestock Grazing"
"1. Campus Safety
2. Children Act
3. Sexual Assault Prevention"
"1. Vessel Design Protection
2. Copyright Law Amendments
3. Hull Definition Redefinition"
"1. Geospatial Technology
2. National Geospatial Database
3. Geospatial Data Plan"
"1. Spectrum Relocation Fund
2. Research and Development
3. Efficiency and Effectiveness"
"1. Medicare
2. Physicians
3. Reserve Component"
"1. Noose
2. Hate Crime
3. Discrimination"
"1. Tax Relief
2. TARP Repeal
3. Social Security Impact"
"1. Homeland Security
2. Classified Information
3. Civil Purposes"
"1. Healthcare Reporting
2. Stimulus Funds
3. Tax Revenue"
"1. Continuing Appropriations Act, 2011
2. Appropriations for FY2011
3. Emergency Requirements"
"1. Public Housing Authority
2. Amendments
3. Resident Advisory Boards"
"1. Equity in Government Compensation Act of 2010
2. Fannie Mae and Freddie Mac Compensation
3. Cl"
"1. Health IT
2. Physician Referrals
3. HHS Reporting"
"1. Education Tax Deductions
2. Education Savings Accounts
3. Student Loan Interest"
"1. River Restoration
2. Engineering
3. Environmental Protection"
"1. Law Enforcement
2. Armor Vests
3. Safety"
"1. National Parks
2. Historical Sites
3. Water Rights"
"1. Security
2. Freedom
3. Fuel"
"1. Natural Gas
2. Renewable Energy
3. Vehicle Conversion"
"1. Tax Credit
2. Coal Production
3. Indian Facilities"
"1. Nuclear Waste
2. Informed Consent
3. Act"
"1. Fairness
2. Obamacare
3. Healthcare"
"1. Land Management
2. Conservation
3. Timber Harvesting"
"1. Parks
2. Preservation
3. Funding"
"1. Pension Transparency
2. Reporting Requirements
3. Bond Issuance"
"1. Research
2. Transparency
3. Consumer Protection"
"1. Death in Custody
2. Reporting Act
3. Criminal Justice Assistance"
"1. Tariffs
2. Strontium
3. Fluorescent lamps"
"1. Startups
2. Tax Deductions
3. Business Expenditures"
"1. Tax Deduction
2. Charitable Use
3. Mileage Rate"
"1. Credit Rates
2. Consumer Protection
3. Credit Card Fees"
"1. Housing
2. Government
3. Funding"
"1. Tariff Schedule
2. Synthetic Staple Fibers
3. Duty Suspension"
"1. Transportation
2. Infrastructure
3. Corridors"
"1. Military
2. Officers
3. Association"
"1. Tax-exempt grants
2. Collegiate housing
3. Social clubs"
"1. Postal Service
2. Facility
3. Rochester"
"1. Space Transportation Liability
2. Commercial Space Launch
3. Third Party Claims"
"1. Clinical Social Workers
2. Reimbursement
3. Medicare"
"1. Social Security
2. Preservation Act
3. Investment"
"1. Property
2. Marker
3. Statue"
"1. Small Business Export Growth Act
2. Export Promotion and Financing
3. Federal Trade Promotion Efforts"
"1. Polar Bear Conservation
2. Fairness Act of 2015
3. Marine Mammal Protection Act"
"1. Tariffs
2. Yttrium
3. Europium"
"1. Wildlife Conservation
2. Public Safety
3. Animal Welfare"
"1. Generic Drugs
2. Patent Infringement
3. FTC"
"1. NLRB Reform
2. Appellate Review
3. Judicial Review"
"1. Children's Hospital
2. GME Support
3. Reauthorization Act"
"1. Muslim Brotherhood
2. Terrorist Designation
3. Foreign Policy"
"1. Medicare Data
2. Transparency
3. Accountability"
"1. Student Loan Repayment
2. Public Service Employee Loan Forgiveness
3. Debt Discharge"
"1. Pedestrian Safety
2. Electric Vehicles
3. Alert Sound"
"1. Wounded Warriors
2. Federal Leave Act
3. Disability Treatment"
"1. American Jobs Act
2. Employment Information
3. Layoffs"
"1. Wildlife Trafficking
2. Endangered Species
3. Conservation"
"1. Rule Act 2016
2. Federal Rules of Criminal Procedure
3. Search and Seizure"
"1. GI Bill
2. Post-9/11 GI Bill
3. Veterans Affairs"
"1. Transportation
2. Taxation
3. Equity"
"1. Teacher Retention
2. Professional Development
3. Mentoring"
"1. H-2B Labor Certification
2. Employer Recruitment
3. U.S. Workforce"
"1. IRS Employees
2. Tax Debt
3. Performance Awards"
"1. Sex Offenders
2. Registration
3. Notification"
"1. Medical Residency
2. Education
3. Healthcare"
"1. Postal Service
2. Facility
3. Building"
"1. Taxes
2. Business
3. Growth"
"1. Railway Labor Act
2. National Mediation Board
3. Labor Organization"
"1. 529 Plans
2. Taxes
3. Education"
"1. Human Rights
2. International Law
3. Immigration"
"1. Health Care
2. Professionals
3. Protection"
"1. HUDZone
2. Census Tract
3. Low-Income Housing Tax Credit"
"1. Trichloroethylene
2. Health Advisory
3. Vapor Intrusion"
"1. Voting Rights
2. Technology Enhancement
3. Election Laws"
"1. Accountability
2. Reform
3. Budget"
"1. Tariffs
2. Trifloxystrobin
3. Propiconazole"
"1. Electronic Lending Act of 2016
2. Consumer Financial Protection Bureau
3. Small-dollar consumer credit"
"1. Health Prizes
2. Innovation
3. Savings"
"1. Military Capabilities
2. Readiness
3. Support for Troops"
"1. Freedom of Information
2. Tax Returns
3. Presidential Returns"
"1. Tariff Schedule
2. Synthetic Staple Fibers
3. Duty Suspension"
"1. Congressional Gold Medal
2. Muhammad Ali
3. Recognition"
"1. Veterans
2. Foreclosure
3. Real Property"
"1. Military Retired Pay
2. Veterans' Disability Compensation
3. Concurrent Receipt"
"1. Indian Relations
2. Pilot Program
3. Federal Management"
"1. Energy Commodities
2. Speculation Prevention
3. Reporting Requirements"
"1. Social Security
2. Benefit Amounts
3. Eligibility"
"1. Water Quality
2. Federalism
3. Environmental Regulation"
"1. Tariffs
2. Glass Fibers
3. Catalytic Converters"
"1. Hurricane Recovery
2. Emergency Funding
3. Temporary Housing"
"1. Fraud
2. Contracting
3. Taxes"
"1. Economic Policy
2. Tax Policy
3. Financial Regulation"
"1. Habitat Conservation
2. Infrastructure Development
3. Sustainable Development"
"1. Medicare
2. Rural Health
3. Physician Fees"
"1. Firefighter
2. Fairness
3. Act"
"1. Tax-exempt financing
2. Government buildings
3. Education"
"1. Breast Cancer
2. Young Women
3. Research"
"1. Black Lung Benefits
2. Survivors Equity Act
3. Amendments"
"1. Healthcare
2. Education
3. Residency Training"
"1. Violence Against Women
2. Domestic Violence
3. Sexual Assault"
"1. Prescription Drug
2. Health Improvement
3. Medicare"
"1. STEM Education
2. Teacher Training
3. Curriculum Development"
"1. Wage Theft Prevention
2. Community Partnership
3. Labor Rights"
"1. Land Conveyance
2. Public Access
3. Appraisal Costs"
"1. Homeowners Insurance
2. Tax Credit
3. Disaster Areas"
"1. Rapid Innovation Fund
2. Defense Research and Development
3. Eligible Technology"
"1. Head Start
2. Water Pollution
3. Child Care"
"1. Engineering Biology Research
2. National Security
3. Economic Productivity"
"1. Energy
2. Environment
3. Climate Change"
"1. Veterans Small Business Verification Act
2. Servicemembers Civil Relief Act
3. Veterans Outreach and Assistance"
"1. Superfund
2. Polluter Pays Act
3. Environmental Tax"
"1. Pipeline Rights
2. Federal Lands
3. National Parks"
"1. Harriet Tubman
2. Currency
3. Tribute Act"
"1. Food Safety
2. Animal Welfare
3. Commerce Regulation"
"1. Marine Life Protection
2. Vessel Speed Regulation
3. Whale Conservation"
"1. Alcohol Testing
2. Drug Testing
3. Commercial Motor Vehicles"
"1. Military Construction
2. Veterans Affairs
3. Related Agencies"
"1. TPS Reform Act
2. Immigration
3. Environmental Disaster"
"1. Public Buildings Reform
2. Savings Act of 2016
3. GSA Procedures"
"1. Bankruptcy Law
2. Employee Benefits
3. Retirement Plans"
"1. Health
2. Wellness
3. Tax Credit"
"1. Tariff Schedule
2. Synthetic Staple Fibers
3. Duty Suspension"
"1. Pay Stub Disclosure Act
2. Employee Records
3. Civil Penalties"
"1. Bed Bugs
2. Inspections
3. Education"
"1. Veterans Employment
2. Procurement
3. Federal Contracts"
"1. Community Forests
2. National Forest System
3. Secure Rural Schools"
"1. Cyber Privacy
2. Security Breach
3. Data Protection"
"1. Land Conservation
2. Water Conservation
3. Funding Act"
"1. Election Law
2. Campaign Finance
3. Lobbying"
"1. Human Rights
2. Corruption
3. Sanctions"
"1. Spectrum Accessibility
2. Rural Areas
3. Small Carriers"
"1. EPA's Language on Agriculture
2. Farm Act of 2013
3. Economic Impact Statement"
"1. Education
2. Class Size
3. Teachers"
"1. Immunosuppressive Drug Coverage
2. Kidney Transplant Patients
3. Medicare Part B Enrollment"
"1. Accountability
2. Veterans Health
3. Housing"
"1. Chemical Storage Facility
2. Water Pollution Control Act
3. Environmental Protection Agency"
"1. Prairies
2. Act
3. Crop Insurance"
"1. Immigration
2. Criminal
3. Alien"
"1. Uterine Fibroids Research
2. Education and Information
3. Health Care Providers"
"1. Civil Registration
2. Legal Frameworks
3. Property Rights"
"1. Aging Pilots
2. Medical Certification
3. Training and Evaluation"
"1. Transnational Crime
2. International Criminal Tribunals
3. War Crimes"
"1. Adaptive Assessments
2. College and Career Readiness
3. Alternative Accountability Model"
"1. 2-1-1 Service
2. Human Services
3. Community Information"
"1. Tariffs
2. Camel Hair
3. Duty Suspension"
"1. Totalization Agreements
2. Social Security
3. Eligibility"
"1. Military
2. Defense
3. Nuclear"
"1. Education
2. Immigrants
3. Citizenship"
"1. Child Protection
2. Pornography
3. Sex Trafficking"
"1. Needle Disposal
2. Medicare Coverage
3. FDA Approval"
"1. Energy Tax Credit
2. Small Business Tax Credit
3. Low-Income Home Energy Assistance"
"1. Second Amendment
2. National Parks
3. National Wildlife Refuges"
"1. Maritime Administration
2. Sexual Harassment and Assault Prevention
3. Polar Icebreaker Fleet Recapitalization"
"1. Electronic Duck Stamp
2. Extension Act
3. Pilot Program"
"1. National Parks
2. Agriculture
3. Archeology"
"1. Psoriasis Research
2. Psoriatic Arthritis Research
3. Psoriasis Data Collection"
"1. St. Croix River Crossing
2. Bridge Construction
3. Federal Aid Highways"
"1. Judicial Restructuring
2. Circuit Court of Appeals
3. Federal Judicial Code"
"1. Tax Deferral
2. Employee Ownership
3. S Corporation Assistance"
"1. Social Security
2. Safety Dividend
3. Act"
"1. Tariffs
2. Sulfur
3. Black"
"1. Propane Inventory
2. Propane Emergency Response
3. Propane Storage Facilities"
"1. Security
2. Clearance
3. Carelessness"
"1. Secure Rural Schools
2. Community Self-Determination
3. Reauthorization Act"
"1. Legal Accountability
2. Foreign Manufacturers
3. Registered Agent"
"1. Cyber Ranges
2. Test Facilities
3. Cloud-based Training"
"1. Education Data
2. Privacy and Security
3. Longitudinal Data Systems"
"1. Alaska Natural Gas
2. Pipeline Improvement
3. FERC"
"1. Chinese Language
2. Education
3. Global Competitiveness"
"1. Digital Security
2. Commission Act
3. National Security"
"1. Renewable Energy Development
2. Geothermal, Solar, Wind Energy
3. Federal Land Management"
"1. Paycheck Fairness Act
2. Equal Pay Act
3. Wage Discrimination"
"1. Gang Elimination
2. National Threat Drug Gangs
3. International Terrorism"
"1. Transportation
2. Alternatives Program
3. Pedestrians"
"1. Health Care
2. Price Transparency
3. Medicaid"
"1. Home Healthcare
2. Nurse Training
3. Nursing Workforce Development"
"1. Water Infrastructure
2. Clean Water Act
3. Innovative Financing"
"1. Driver Fatigue
2. Prevention Act
3. Over-the-road Bus Drivers"
"1. Accessibility
2. Wellness
3. Training"
"1. Wall Street Accountability
2. Sustainable Funding
3. Commodity Futures Trading Commission"
"1. Foreign Lobbying
2. Ethics in Politics
3. Campaign Finance Reform"
"1. ERISA
2. Retirement
3. Benefits"
"1. Tax Credits
2. Healthcare
3. Rural Education"
"1. Foreign Evidence
2. Request Efficiency
3. Criminal Investigations"
"1. FDA
2. Accountability
3. Public Safety"
"1. Procurement
2. Federal Employees
3. Contracts"
"1. Health
2. Tax
3. Liberty"
"1. Insurance
2. Motor Vehicles
3. Bodily Injuries"
"1. Charitable Contributions
2. Act of 2015
3. IRS Regulations"
"1. Education
2. Construction
3. Tax Credit"
"1. Unemployment Benefits
2. Health Insurance
3. Medicare"
"1. Syria
2. Civilian Protection
3. Sanctions"
"1. FAA Modernization
2. Small Business Concerns
3. Disadvantaged Business Enterprises"
"1. Dr. Shakil Afridi
2. Prison
3. Treason"
"1. Geologic Mapping
2. National Parks
3. Environmental Protection"
"1. Tariff Schedule
2. Women's Footwear
3. Duty Suspension"
"1. Veterans
2. Suicide
3. Study"
"1. Cybersecurity
2. Information Sharing
3. Privacy"
"1. Benefits
2. Employment
3. Workforce"
"1. Diagnostics
2. Drug Development
3. Intellectual Property"
"1. Consumer Cooperative Bank Act
2. Amendments of 2008
3. Community Development Financial Institutions"
"1. Tariff
2. Extension
3. Nicaragua"
"1. Energy Policy
2. Diesel Emissions
3. Grants and Loans"
"1. Renewable Energy Tax Credit
2. Guam
3. American Samoa"
"1. Records Management
2. Electronic Messaging
3. Presidential Records"
"1. Model T Ford
2. Automobile
3. Education"
"1. PTSD
2. Mental Health
3. Military Sexual Trauma"
"1. Tariffs
2. Suspension
3. Duty"
"1. Firearms
2. Law
3. Manufacturing"
"1. Transparency
2. Judgment Payments
3. Federal Agencies"
"1. Transportation
2. Infrastructure
3. Flood Control"
"1. Environmental Protection
2. Land Management
3. Wildlife Conservation"
"1. Health Care Services Commission
2. Independent Health Record Trust
3. Health Information Technology"
"1. Social Security
2. Funeral Arrangements
3. Irrevocable Trusts"
"1. Tariffs
2. Gloves
3. Mechanics"
"1. Tax Credit
2. Military Installation
3. Community Development"
"1. Veterans' Benefits
2. Pershing Hall
3. World War I"
"1. Navy Ship Logs
2. Vietnam Era
3. Accountability Act"
"1. Employers
2. Assistance
3. Education"
"1. Tax Deductions
2. Damages Act of 2015
3. Internal Revenue Code"
"1. Wastewater Reclamation
2. Water Infrastructure
3. Irrigation"
"1. Unemployment Insurance
2. Consumer Reporting Agencies
3. Informed Consent"
"1. Mortgage
2. Cancellation
3. Relief"
"1. Progressive movement
2. Wisconsin
3. United States"
