wiki_M7_dpo
"1. Pageant
2. Education
3. Politics"
"1. Music
2. Music
3. Music"
"Football, Football, Football
Examples:
1. Football
2. Football
3. Football"
"1. History
2. Religion
3. Mythology"
"1. History
2. History
3. Military"
"1. Politics
2. Politics
3. Politics"
"1. Medicine
2. Medicine
3. Medicine"
"1. Music
2. Music
3. Music"
"1. Technology
2. Technology
3. Technology"
"1. History
2. History
3. History"
"1. History
2. War
3. Politics"
"1. History
2. Education
3. Agriculture"
"1. Football
2. Football
3. Football"
"Music, Politics, History
The given text:
Greece in the Eurovision Song Contest 2005 = Greece participated in and won the Eurovision"
"History
Economics
Legal"
"1. History
2. Architecture
3. Religion"
"Murder
Crime
Police investigation
The given text contains three general topics:
1. Murder
2. Crime
3. Police investigation"
"1. History
2. History
3. History"
"1. History
2. History
3. History"
"1. Television
2. Television
3. Television"
"1. History
2. Technology
3. Engineering"
"1. History
2. History
3. Geography"
"1. Music
2. Music
3. Music"
"1. Music
2. Music
3. Music"
"1. History
2. History
3. Technology"
"1. Music
2. Music
3. Music"
"1. History
2. Politics
3. Politics"
"1. Law
2. Politics
3. Law"
"1. Television
2. Science
3. Medicine"
"1. History
2. History
3. History"
"1. History
2. Politics
3. Politics"
"1. Science
2. Technology
3. Technology"
"1. History
2. Military
3. History"
"1. History
2. Football
3. Football"
"1. Weather
2. Technology
3. Meteorology"
"1. History
2. Weather
3. Technology"
"1. Sports
2. Sports
3. Sports"
"1. History
2. Architecture
3. Superstition and Haunting"
"1. Architect
2. Architect
3. Architect"
"1. Music
2. Music
3. Music"
"Music
Music
Music"
"1. History
2. Weather
3. Technology"
"Movie
Music
Science Fiction"
"1. Racing
2. Sports
3. Sports"
"1. Football
2. Football
3. Football"
"1. Ice
2. Hockey
3. Sports"
"1. Television
2. Television
3. Television"
"1. Sports
2. Sports
3. Sports"
"1. History
2. Religion
3. Religion"
"Mycology
Mycology
Mycology"
"History
Flight
Crash"
"1. History
2. History
3. Technology"
"History
Military
History
Military"
"1. History
2. Fashion
3. Sports"
"1. Military
2. Military
3. Military"
"History
Music
Geography
The given text describes the route of U.S. Route 62 in Oklahoma, including its history, current routing, and various"
"1. Film
2. Music
3. Television"
"1. History
2. Agriculture
3. Agriculture"
"1. Music
2. Music
3. Music"
"History
Music
Religion
The given text:
Wilfred Talbot Smith = Wilfred Talbot Smith ( born Frank Wenham ; 8 June"
"1. Football
2. Football
3. Football"
"1. History
2. War
3. Technology"
"1. History
2. Military
3. Engineering"
"1. History
2. Music
3. Technology"
"1. Music
2. Music
3. Music"
"1. History
2. History
3. Technology"
"1. Music
2. Music
3. Music"
"Moral rights
Moral rights
Moral rights"
"1. History
2. Transport
3. Technology"
"1. Chemistry
2. History
3. Chemistry"
"History
Military
Music"
"1. Music
2. Music
3. Music"
"1. Video
2. Music
3. Video"
"1. History
2. Transport
3. Transport"
"1. Weather
2. History
3. Geography"
"History
Music
Sports
The given text contains three general topics:
1. History
2. Music
3. Sports"
"1. History
2. War
3. Engineering"
"1. Hurricane
2. Relief
3. Agriculture"
"1. Film
2. Superhero
3. Superhero"
"History
Archaeology
Geology"
"1. History
2. Wrestling
3. Wrestling"
"1. Television
2. Dance
3. Television"
"1. Battle
2. History
3. Military"
"1. Music
2. Music
3. Music"
"1. Music
2. Music
3. Music"
"1. History
2. Sports
3. Sports"
"1. History
2. Aviation
3. Technology"
"1. History
2. Politics
3. Politics"
"1. Animated
2. Television
3. Science"
"1. Baseball
2. Biography
3. History"
"1. Wrestling
2. Sports
3. Sports"
"1. History
2. History
3. History"
"1. History
2. History
3. Music"
"1. History
2. History
3. History"
"1. History
2. History
3. Music"
"1. Music
2. Music
3. Music"
"1. Operating
2. Graphics
3. Software"
"1. Hurricane
2. Flood
3. Recovery"
"Sports
Sports
Sports"
"1. Boat
2. Sports
3. History"
"1. Music
2. Music
3. Music"
"1. Art
2. History
3. Art"
"1. History
2. Music
3. Comedy"
"History
Politics
Religion"
"Religion
Religion
Religion
The given text discusses the 2008 attacks on Christians in southern Karnataka, the cause"
"1. History
2. Transport
3. Geography"
"1. History
2. Military
3. Military"
"Music
Music
Music"
"1. History
2. Politics
3. Philosophy"
"1. Film
2. Film
3. Film"
"1. History
2. Football
3. Football"
"Music, History, Music
Explanation:
The given text talks about the history of hard rock music, its evolution, and its influence on other genres of music"
"1. History
2. Technology
3. Technology"
"Hulk
Music
Science
The given text:
1. Hulk
2. Music
3. Science"
"1. Hockey
2. Biography
3. Sports"
"1. Bridge
2. Transport
3. Transport"
"1. Music
2. Music
3. Music"
"1. Music
2. Music
3. Game"
"Politics
Politics
Politics"
"1. History
2. Politics
3. Politics"
"1. History
2. Military
3. Military"
"1. Geography
2. History
3. History"
"History
Politics
Geology"
"1. History
2. Military
3. Engineering"
"1. Sports
2. Television
3. Humor"
"1. Kidnapping
2. Rescue
3. Death"
"1. Film
2. Horror
3. Thriller"
"1. History
2. History
3. History"
"1. History
2. Sports
3. Sports"
"1. Star Trek
2. Television
3. Technology"
"1. History
2. History
3. Music"
"History
Music
Nature"
"1. Football
2. Football
3. Football"
"Military
History
War
The given text discusses the formation, organisation, and command of the Australian Imperial Force (AIF) during World War I. It also"
"1. Cricket
2. Sports
3. Sports"
"1. Mycology
2. Taxonomy
3. Ecology"
"Music
Music
Music"
"1. Music
2. Music
3. Music"
"1. History
2. Technology
3. Technology"
"Game
Game
Music"
"1. Comics
2. Superhero
3. Psychology"
"1. Weather
2. History
3. Geography"
"1. History
2. Military
3. Technology"
"1. Zool
2. Zool
3. Zool"
"1. Music
2. Music
3. Music"
"1. History
2. History
3. History"
"1. History
2. Religion
3. Religion"
"1. Olympics
2. Sports
3. Sports"
"1. History
2. History
3. History"
"1. History
2. History
3. Technology"
"1. Water
2. Sports
3. Sports"
"History
Religion
History"
"1. History
2. Military
3. History"
"1. Film
2. Science
3. Science"
"1. History
2. Architecture
3. Architecture"
"1. Neuro
2. Medicine
3. Biochemistry"
"History
Music
Politics"
"1. Hockey
2. Hockey
3. Hockey"
"History
Sport
History"
"1. Music
2. Music
3. Music"
"1. Biochem
2. Biophysics
3. Biology"
"1. Physics
2. History
3. Education"
"1. Meteorological
2. History
3. Disaster"
"1. Theme
2. Water
3. Engineering"
"1. Television
2. Science
3. Science"
"1. Transport
2. Geography
3. History"
"1. Music
2. Television
3. Comedy"
"1. Music
2. Music
3. Music"
"1. Television
2. Relationship
3. Comedy"
"1. History
2. History
3. Technology"
"1. History
2. Technology
3. Technology"
"1. History
2. History
3. History"
"1. Art
2. Mystery
3. Art"
"1. History
2. Biography
3. Family"
"1. History
2. Transport
3. Geography"
"1. History
2. Architecture
3. History"
"1. History
2. Architecture
3. History"
"1. History
2. History
3. History"
"1. History
2. Art
3. Travel"
"1. Music
2. Music
3. Music"
"1. Music
2. Music
3. Music"
"History
Military
History"
"1. History
2. Music
3. Film"
"1. Television
2. Television
3. Television"
"1. History
2. Music
3. Theatre"
